Platform,Genre,Global_Sales
PS4,Racing,0.66
X360,Misc,0.66
PS,Sports,0.66
WiiU,Action,0.65
PS3,Sports,0.65
PS2,Action,0.65
PS3,Strategy,0.65
XOne,Action,0.65
X360,Sports,0.65
PS2,Role-Playing,0.65
GC,Racing,0.65
PS2,Platform,0.65
PSP,Platform,0.65
GBA,Platform,0.65
DS,Action,0.65
PS2,Racing,0.65
Wii,Action,0.65
GBA,Misc,0.65
PS,Role-Playing,0.65
DS,Puzzle,0.65
PS4,Sports,0.65
X360,Sports,0.65
GBA,Strategy,0.65
DS,Role-Playing,0.65
PS,Shooter,0.65
PS2,Role-Playing,0.65
PS2,Misc,0.65
2600,Action,0.65
PS2,Role-Playing,0.65
PS2,Action,0.65
PS2,Misc,0.65
PS,Adventure,0.65
PSP,Racing,0.65
Wii,Misc,0.65
PS3,Fighting,0.65
PSP,Role-Playing,0.65
PS2,Strategy,0.65
PS3,Role-Playing,0.65
Wii,Misc,0.65
DS,Misc,0.65
PS3,Action,0.65
PC,Shooter,0.64
DS,Simulation,0.64
PS2,Action,0.64
GBA,Platform,0.64
XOne,Role-Playing,0.64
PS2,Platform,0.64
PSP,Action,0.64
PS3,Shooter,0.64
PS2,Platform,0.64
PS3,Racing,0.64
XB,Shooter,0.64
X360,Fighting,0.64
PS2,Shooter,0.64
XOne,Sports,0.64
PS3,Shooter,0.64
X360,Strategy,0.64
3DS,Platform,0.64
PS4,Action,0.64
XB,Shooter,0.64
PS2,Platform,0.64
X360,Racing,0.64
XB,Sports,0.64
PC,Action,0.64
X360,Action,0.64
N64,Shooter,0.64
N64,Platform,0.64
N64,Platform,0.64
GBA,Misc,0.64
X360,Action,0.64
XB,Shooter,0.64
PS2,Action,0.64
PS3,Role-Playing,0.64
DS,Platform,0.64
PS3,Racing,0.64
GBA,Misc,0.64
PSV,Action,0.64
GBA,Misc,0.64
PS3,Role-Playing,0.64
PS3,Shooter,0.64
PS2,Misc,0.64
PS4,Action,0.64
PS3,Misc,0.64
N64,Racing,0.64
N64,Sports,0.64
PS3,Sports,0.64
X360,Shooter,0.64
Wii,Racing,0.64
Wii,Action,0.64
PS2,Platform,0.64
PS3,Action,0.64
Wii,Misc,0.64
Wii,Shooter,0.63
PS2,Role-Playing,0.63
PS,Action,0.63
PS2,Misc,0.63
X360,Misc,0.63
PS3,Racing,0.63
X360,Racing,0.63
XB,Sports,0.63
PS,Strategy,0.63
XB,Sports,0.63
X360,Action,0.63
PS2,Role-Playing,0.63
PS2,Racing,0.63
PS3,Sports,0.63
GBA,Simulation,0.63
PS3,Action,0.63
PS3,Misc,0.63
PSP,Action,0.63
3DS,Misc,0.63
DS,Action,0.63
N64,Platform,0.63
SNES,Platform,0.63
Wii,Misc,0.63
3DS,Action,0.63
X360,Action,0.63
Wii,Sports,0.63
PS2,Fighting,0.63
PS3,Misc,0.63
DS,Shooter,0.63
PS4,Action,0.63
PS2,Platform,0.63
Wii,Shooter,0.63
2600,Action,0.63
X360,Shooter,0.63
DS,Strategy,0.63
PC,Simulation,0.63
XOne,Racing,0.63
DS,Strategy,0.63
3DS,Role-Playing,0.63
X360,Racing,0.63
PS2,Role-Playing,0.63
PS2,Sports,0.63
PSP,Role-Playing,0.63
PS,Role-Playing,0.63
X360,Sports,0.63
PS2,Action,0.63
PS,Sports,0.63
Wii,Simulation,0.63
XOne,Action,0.63
PS3,Shooter,0.63
DS,Racing,0.63
PS,Platform,0.63
GC,Misc,0.63
SNES,Strategy,0.62
SAT,Shooter,0.62
XB,Action,0.62
XB,Sports,0.62
PS,Fighting,0.62
X360,Action,0.62
PS3,Shooter,0.62
PS2,Role-Playing,0.62
PS,Sports,0.62
PS3,Role-Playing,0.62
GC,Sports,0.62
PC,Shooter,0.62
2600,Shooter,0.62
XB,Sports,0.62
3DS,Action,0.62
PS3,Sports,0.62
XOne,Shooter,0.62
PS2,Platform,0.62
PS3,Action,0.62
PS3,Action,0.62
DS,Adventure,0.62
GC,Action,0.62
GBA,Simulation,0.62
N64,Racing,0.62
PSV,Sports,0.62
PS,Platform,0.62
DS,Misc,0.62
PS2,Sports,0.62
Wii,Action,0.62
PS3,Action,0.62
2600,Action,0.62
PS3,Fighting,0.62
PSP,Fighting,0.62
PS,Sports,0.62
PS2,Racing,0.62
GB,Puzzle,0.62
GC,Misc,0.62
PS4,Misc,0.62
SAT,Fighting,0.62
SNES,Role-Playing,0.62
X360,Platform,0.62
PC,Action,0.62
3DS,Adventure,0.62
DS,Role-Playing,0.62
N64,Sports,0.62
PS,Strategy,0.62
PS3,Racing,0.61
Wii,Role-Playing,0.61
PS3,Sports,0.61
PS2,Misc,0.61
PS4,Sports,0.61
PS4,Shooter,0.61
XB,Sports,0.61
PS2,Action,0.61
PS3,Action,0.61
Wii,Misc,0.61
GBA,Misc,0.61
PS2,Shooter,0.61
GBA,Platform,0.61
Wii,Misc,0.61
X360,Sports,0.61
WiiU,Misc,0.61
3DS,Simulation,0.61
GBA,Misc,0.61
PS2,Shooter,0.61
Wii,Sports,0.61
DS,Misc,0.61
X360,Sports,0.61
Wii,Platform,0.61
PS,Platform,0.61
PS3,Shooter,0.61
DS,Simulation,0.61
XB,Shooter,0.61
PS,Shooter,0.61
Wii,Misc,0.61
PSP,Platform,0.61
X360,Sports,0.61
DS,Simulation,0.61
X360,Sports,0.61
DS,Simulation,0.61
X360,Racing,0.61
GBA,Role-Playing,0.61
GBA,Sports,0.61
PS,Action,0.61
GBA,Action,0.61
GBA,Action,0.61
GC,Sports,0.61
Wii,Misc,0.61
Wii,Misc,0.61
GBA,Action,0.61
N64,Sports,0.61
X360,Action,0.61
GBA,Misc,0.61
DS,Simulation,0.61
PS2,Fighting,0.61
X360,Fighting,0.61
X360,Shooter,0.61
Wii,Strategy,0.6
GBA,Sports,0.6
PSV,Sports,0.6
GBA,Racing,0.6
PS2,Platform,0.6
GC,Racing,0.6
PS2,Fighting,0.6
XB,Fighting,0.6
PSP,Role-Playing,0.6
DS,Action,0.6
PS2,Sports,0.6
Wii,Action,0.6
WiiU,Action,0.6
Wii,Action,0.6
DS,Misc,0.6
PS3,Sports,0.6
3DS,Action,0.6
PS3,Adventure,0.6
PS4,Action,0.6
PS,Role-Playing,0.6
PS2,Platform,0.6
PS2,Racing,0.6
PSP,Action,0.6
PS2,Action,0.6
SAT,Puzzle,0.6
PS2,Shooter,0.6
XOne,Action,0.6
N64,Racing,0.6
N64,Sports,0.6
WiiU,Platform,0.6
PS2,Racing,0.6
Wii,Misc,0.6
PS,Fighting,0.6
PS,Simulation,0.6
X360,Racing,0.6
PS3,Strategy,0.6
X360,Racing,0.6
PS,Adventure,0.6
3DS,Action,0.6
SNES,Strategy,0.6
PS3,Sports,0.6
X360,Adventure,0.6
X360,Misc,0.6
PS4,Action,0.6
PS2,Sports,0.6
DS,Racing,0.6
PS3,Fighting,0.6
PS2,Strategy,0.6
DS,Puzzle,0.6
PC,Action,0.59
PS2,Racing,0.59
PSV,Platform,0.59
X360,Sports,0.59
X360,Sports,0.59
PS2,Strategy,0.59
Wii,Misc,0.59
PS,Sports,0.59
PC,Action,0.59
PS,Sports,0.59
PS,Misc,0.59
GC,Shooter,0.59
DS,Role-Playing,0.59
Wii,Action,0.59
PS3,Shooter,0.59
PS,Sports,0.59
PC,Strategy,0.59
PS,Sports,0.59
PS2,Misc,0.59
PS3,Action,0.59
PSP,Action,0.59
2600,Puzzle,0.59
X360,Action,0.59
PS2,Sports,0.59
XB,Sports,0.59
GC,Platform,0.59
2600,Action,0.59
DS,Misc,0.59
Wii,Action,0.59
Wii,Action,0.59
N64,Racing,0.59
N64,Sports,0.59
X360,Shooter,0.59
XB,Sports,0.59
PS2,Role-Playing,0.59
X360,Fighting,0.59
PS3,Sports,0.59
PS3,Role-Playing,0.59
PS2,Action,0.59
X360,Sports,0.59
Wii,Sports,0.59
X360,Misc,0.59
PS,Action,0.59
X360,Action,0.59
PS2,Platform,0.59
PSP,Role-Playing,0.59
PS4,Role-Playing,0.59
PSP,Action,0.59
PC,Shooter,0.59
PS3,Sports,0.59
GBA,Simulation,0.59
PS2,Sports,0.59
DS,Sports,0.59
SNES,Sports,0.59
PS3,Shooter,0.59
PS2,Action,0.58
Wii,Action,0.58
Wii,Simulation,0.58
PS2,Action,0.58
Wii,Shooter,0.58
WiiU,Misc,0.58
PS,Simulation,0.58
PS,Role-Playing,0.58
Wii,Sports,0.58
PS4,Sports,0.58
2600,Puzzle,0.58
PS2,Role-Playing,0.58
PS2,Role-Playing,0.58
DS,Simulation,0.58
Wii,Misc,0.58
Wii,Platform,0.58
PC,Simulation,0.58
XOne,Sports,0.58
Wii,Platform,0.58
XOne,Sports,0.58
PC,Shooter,0.58
PS3,Sports,0.58
X360,Action,0.58
PS,Sports,0.58
3DS,Platform,0.58
PS2,Action,0.58
X360,Shooter,0.58
DS,Simulation,0.58
N64,Sports,0.58
N64,Sports,0.58
N64,Sports,0.58
PS2,Racing,0.58
PS2,Shooter,0.58
PS,Role-Playing,0.58
PS,Role-Playing,0.58
XB,Action,0.58
PS2,Role-Playing,0.58
PS,Platform,0.58
GBA,Adventure,0.58
DS,Action,0.58
PS3,Fighting,0.58
DS,Simulation,0.58
PS2,Shooter,0.58
PS,Racing,0.58
SNES,Role-Playing,0.58
X360,Sports,0.58
PS3,Sports,0.58
DS,Adventure,0.58
SNES,Strategy,0.58
PS3,Misc,0.58
PS3,Role-Playing,0.58
PS3,Fighting,0.58
PS,Action,0.58
GC,Sports,0.58
PS3,Sports,0.58
PS2,Action,0.58
PS2,Sports,0.58
PS3,Sports,0.58
DS,Adventure,0.58
Wii,Sports,0.58
PS,Role-Playing,0.58
Wii,Puzzle,0.58
N64,Sports,0.58
PS3,Platform,0.58
XB,Sports,0.58
PS2,Sports,0.58
PS3,Action,0.57
3DS,Role-Playing,0.57
PS,Simulation,0.57
X360,Shooter,0.57
X360,Platform,0.57
PSP,Racing,0.57
XB,Shooter,0.57
PS2,Puzzle,0.57
GBA,Sports,0.57
Wii,Action,0.57
PS2,Role-Playing,0.57
X360,Action,0.57
X360,Action,0.57
PS,Strategy,0.57
GBA,Action,0.57
PS3,Action,0.57
DS,Action,0.57
PS,Role-Playing,0.57
PS2,Action,0.57
PSP,Action,0.57
X360,Shooter,0.57
GC,Sports,0.57
Wii,Action,0.57
PC,Action,0.57
DS,Simulation,0.57
PS2,Fighting,0.57
X360,Shooter,0.57
DS,Simulation,0.57
PS3,Role-Playing,0.57
NES,Action,0.57
N64,Sports,0.57
Wii,Sports,0.57
PSP,Action,0.57
Wii,Misc,0.57
XB,Shooter,0.57
PS2,Action,0.57
3DS,Action,0.57
Wii,Platform,0.57
PS2,Misc,0.57
PS2,Sports,0.57
XB,Racing,0.57
SNES,Puzzle,0.57
XB,Platform,0.57
PS3,Shooter,0.57
PS2,Strategy,0.57
DS,Adventure,0.57
XB,Racing,0.57
PS2,Action,0.57
PS,Action,0.57
PS2,Shooter,0.57
PS3,Sports,0.57
X360,Misc,0.57
Wii,Adventure,0.57
X360,Action,0.57
PS3,Action,0.57
X360,Action,0.56
PS,Role-Playing,0.56
GC,Action,0.56
PS2,Role-Playing,0.56
DS,Platform,0.56
GBA,Action,0.56
GBA,Puzzle,0.56
PS2,Sports,0.56
GBA,Action,0.56
PS2,Sports,0.56
GBA,Puzzle,0.56
XB,Simulation,0.56
PS2,Sports,0.56
PS,Platform,0.56
PS2,Misc,0.56
PSP,Sports,0.56
GBA,Misc,0.56
PS2,Sports,0.56
DS,Adventure,0.56
PS2,Fighting,0.56
PS,Action,0.56
DS,Action,0.56
PS2,Simulation,0.56
XB,Shooter,0.56
X360,Shooter,0.56
PS2,Sports,0.56
GBA,Sports,0.56
GC,Racing,0.56
PS,Racing,0.56
Wii,Sports,0.56
X360,Sports,0.56
XB,Fighting,0.56
N64,Action,0.56
SNES,Platform,0.56
PS2,Action,0.56
3DS,Role-Playing,0.56
PS2,Role-Playing,0.56
Wii,Misc,0.56
PSP,Role-Playing,0.56
X360,Shooter,0.56
X360,Misc,0.56
GB,Role-Playing,0.56
PS2,Action,0.56
DS,Simulation,0.56
PS2,Misc,0.56
GBA,Misc,0.56
GBA,Strategy,0.56
XB,Platform,0.56
Wii,Action,0.56
PSP,Puzzle,0.56
PS2,Sports,0.56
SNES,Fighting,0.56
DS,Simulation,0.56
XB,Sports,0.56
DS,Misc,0.56
XOne,Sports,0.56
DS,Simulation,0.56
PSV,Role-Playing,0.56
DS,Action,0.56
Wii,Sports,0.56
PS2,Shooter,0.56
DS,Role-Playing,0.56
Wii,Racing,0.56
Wii,Sports,0.56
PS2,Racing,0.56
DS,Simulation,0.56
XB,Sports,0.56
PS3,Action,0.56
X360,Racing,0.56
PS,Role-Playing,0.55
PS3,Fighting,0.55
PS,Sports,0.55
DS,Simulation,0.55
X360,Role-Playing,0.55
PS2,Action,0.55
PS2,Action,0.55
PS3,Platform,0.55
XB,Action,0.55
SAT,Racing,0.55
Wii,Action,0.55
PS3,Sports,0.55
XB,Fighting,0.55
PS,Role-Playing,0.55
DS,Fighting,0.55
PS3,Fighting,0.55
2600,Sports,0.55
PS,Shooter,0.55
DS,Misc,0.55
PS,Action,0.55
SAT,Adventure,0.55
3DS,Action,0.55
PS2,Action,0.55
PS2,Adventure,0.55
PSV,Shooter,0.55
Wii,Fighting,0.55
X360,Action,0.55
PS3,Shooter,0.55
PSP,Platform,0.55
PC,Action,0.55
PS2,Sports,0.55
PS3,Sports,0.55
DS,Sports,0.55
DS,Puzzle,0.55
XB,Sports,0.55
GBA,Platform,0.55
PS,Fighting,0.55
PS4,Action,0.55
PS,Shooter,0.55
PS,Strategy,0.55
SAT,Strategy,0.55
XB,Platform,0.55
PS2,Sports,0.55
PS3,Shooter,0.55
GBA,Action,0.55
SAT,Strategy,0.55
X360,Action,0.55
3DS,Role-Playing,0.55
Wii,Sports,0.55
GBA,Platform,0.55
PS3,Action,0.55
PS,Fighting,0.55
XB,Shooter,0.55
PS2,Racing,0.55
X360,Shooter,0.55
Wii,Misc,0.55
PS2,Misc,0.55
PS,Misc,0.55
XB,Shooter,0.55
PSP,Fighting,0.55
PS3,Action,0.54
PS2,Action,0.54
PS2,Misc,0.54
X360,Sports,0.54
PS3,Sports,0.54
XB,Platform,0.54
XB,Sports,0.54
PS2,Sports,0.54
GB,Role-Playing,0.54
Wii,Racing,0.54
X360,Role-Playing,0.54
Wii,Racing,0.54
XB,Simulation,0.54
PSP,Racing,0.54
PS2,Racing,0.54
X360,Role-Playing,0.54
PS3,Racing,0.54
PS3,Misc,0.54
PS2,Strategy,0.54
GBA,Platform,0.54
PS3,Action,0.54
DS,Role-Playing,0.54
DS,Role-Playing,0.54
XOne,Adventure,0.54
PS4,Action,0.54
Wii,Action,0.54
PS2,Racing,0.54
DS,Puzzle,0.54
XB,Fighting,0.54
2600,Action,0.54
N64,Action,0.54
N64,Sports,0.54
PS3,Fighting,0.54
X360,Fighting,0.54
PS3,Role-Playing,0.54
PS,Misc,0.54
GC,Action,0.54
PS2,Role-Playing,0.54
DS,Misc,0.54
PS,Misc,0.54
X360,Sports,0.54
PSP,Role-Playing,0.54
X360,Action,0.54
Wii,Sports,0.54
DS,Role-Playing,0.54
PS3,Shooter,0.54
PS3,Racing,0.54
GBA,Misc,0.54
DS,Action,0.54
GC,Sports,0.54
DS,Fighting,0.54
XB,Shooter,0.54
DS,Puzzle,0.54
DS,Shooter,0.54
PS2,Sports,0.54
PS2,Sports,0.54
3DS,Role-Playing,0.54
PS2,Platform,0.54
PS,Sports,0.54
PS4,Action,0.54
X360,Action,0.54
2600,Platform,0.54
DS,Role-Playing,0.54
PS2,Platform,0.54
PS2,Fighting,0.54
Wii,Role-Playing,0.54
GC,Sports,0.54
PS2,Action,0.54
PC,Shooter,0.54
SAT,Adventure,0.53
DS,Puzzle,0.53
PS2,Shooter,0.53
PS,Adventure,0.53
PS2,Sports,0.53
Wii,Action,0.53
PS2,Misc,0.53
PS3,Role-Playing,0.53
PSP,Role-Playing,0.53
PS2,Action,0.53
GBA,Misc,0.53
PS2,Sports,0.53
PS,Racing,0.53
PS2,Shooter,0.53
XB,Misc,0.53
DS,Role-Playing,0.53
DS,Simulation,0.53
PS2,Sports,0.53
PS,Platform,0.53
PS2,Racing,0.53
XB,Sports,0.53
PS,Misc,0.53
WiiU,Action,0.53
X360,Misc,0.53
SNES,Sports,0.53
SNES,Strategy,0.53
SNES,Sports,0.53
XB,Action,0.53
PS3,Misc,0.53
WiiU,Platform,0.53
XB,Racing,0.53
PSP,Sports,0.53
XB,Shooter,0.53
PC,Action,0.53
PS2,Platform,0.53
XB,Action,0.53
PS2,Sports,0.53
WiiU,Racing,0.53
N64,Action,0.53
Wii,Simulation,0.53
PSP,Shooter,0.53
GC,Role-Playing,0.53
Wii,Adventure,0.53
DS,Simulation,0.53
PS,Strategy,0.53
PS3,Shooter,0.53
X360,Shooter,0.53
X360,Sports,0.53
PS3,Racing,0.53
DS,Misc,0.53
PSP,Racing,0.53
PS2,Action,0.53
GC,Action,0.53
PS2,Racing,0.53
PS2,Action,0.53
PSV,Action,0.53
SNES,Sports,0.53
Wii,Action,0.53
PS3,Shooter,0.53
DS,Puzzle,0.53
XOne,Misc,0.53
PSP,Action,0.53
N64,Racing,0.53
N64,Sports,0.53
PS,Misc,0.53
PS2,Shooter,0.53
GBA,Sports,0.52
DC,Simulation,0.52
DS,Action,0.52
PS,Adventure,0.52
Wii,Racing,0.52
PS2,Role-Playing,0.52
DS,Role-Playing,0.52
DS,Misc,0.52
Wii,Fighting,0.52
PSP,Fighting,0.52
PS2,Action,0.52
PS,Role-Playing,0.52
X360,Sports,0.52
PS,Shooter,0.52
DS,Shooter,0.52
PS2,Action,0.52
PS2,Puzzle,0.52
XB,Sports,0.52
PS3,Action,0.52
PS3,Sports,0.52
PS3,Role-Playing,0.52
PS,Fighting,0.52
NES,Platform,0.52
PS,Action,0.52
3DS,Role-Playing,0.52
PS,Fighting,0.52
Wii,Action,0.52
X360,Simulation,0.52
PSV,Action,0.52
PS3,Action,0.52
Wii,Misc,0.52
PS3,Action,0.52
PS2,Sports,0.52
PS2,Sports,0.52
PS2,Action,0.52
Wii,Action,0.52
PS2,Shooter,0.52
XB,Shooter,0.52
GBA,Adventure,0.52
PS3,Action,0.52
PS3,Sports,0.52
PS2,Action,0.52
PS,Strategy,0.52
DS,Misc,0.52
PS2,Sports,0.52
GBA,Sports,0.52
GBA,Action,0.52
DS,Misc,0.52
PS,Shooter,0.52
PC,Simulation,0.52
DS,Action,0.52
XB,Sports,0.52
PS,Sports,0.52
PS2,Misc,0.52
Wii,Misc,0.51
PS2,Action,0.51
PC,Role-Playing,0.51
X360,Fighting,0.51
2600,Sports,0.51
PS2,Misc,0.51
XOne,Action,0.51
PSP,Role-Playing,0.51
PS3,Action,0.51
PS,Sports,0.51
DS,Puzzle,0.51
PS2,Racing,0.51
PC,Strategy,0.51
X360,Sports,0.51
PSP,Fighting,0.51
X360,Action,0.51
PS4,Role-Playing,0.51
Wii,Sports,0.51
X360,Shooter,0.51
DS,Misc,0.51
GC,Sports,0.51
PS2,Sports,0.51
PS2,Role-Playing,0.51
PS,Sports,0.51
PSP,Sports,0.51
Wii,Sports,0.51
Wii,Strategy,0.51
PSP,Action,0.51
GBA,Misc,0.51
X360,Fighting,0.51
N64,Misc,0.51
NES,Platform,0.51
N64,Sports,0.51
X360,Sports,0.51
DS,Action,0.51
PS3,Shooter,0.51
Wii,Platform,0.51
PS3,Action,0.51
XB,Sports,0.51
PS,Strategy,0.51
GBA,Platform,0.51
X360,Fighting,0.51
PS2,Simulation,0.51
PS3,Strategy,0.51
PS3,Role-Playing,0.51
PSP,Racing,0.51
WiiU,Action,0.51
DS,Puzzle,0.51
PSP,Role-Playing,0.51
PS2,Sports,0.51
PSP,Action,0.51
XOne,Action,0.51
Wii,Action,0.51
XB,Misc,0.51
PS2,Sports,0.51
WS,Role-Playing,0.51
X360,Racing,0.51
PS4,Action,0.51
PC,Simulation,0.51
GBA,Fighting,0.51
PC,Action,0.51
DS,Simulation,0.51
XB,Sports,0.51
PS2,Action,0.51
2600,Shooter,0.51
PS2,Misc,0.51
XOne,Misc,0.51
PS3,Shooter,0.51
PS2,Misc,0.51
DS,Adventure,0.51
PS,Sports,0.51
GBA,Action,0.5
X360,Racing,0.5
X360,Sports,0.5
PS2,Racing,0.5
PS2,Platform,0.5
X360,Shooter,0.5
2600,Action,0.5
X360,Adventure,0.5
X360,Action,0.5
PS3,Sports,0.5
XB,Racing,0.5
PS3,Role-Playing,0.5
PS3,Role-Playing,0.5
DS,Fighting,0.5
GC,Adventure,0.5
PS,Misc,0.5
PS2,Action,0.5
PS2,Action,0.5
PS2,Misc,0.5
2600,Shooter,0.5
PS2,Misc,0.5
PS2,Platform,0.5
X360,Sports,0.5
X360,Action,0.5
Wii,Simulation,0.5
Wii,Misc,0.5
3DS,Misc,0.5
PS3,Fighting,0.5
Wii,Sports,0.5
N64,Action,0.5
X360,Simulation,0.5
PS2,Simulation,0.5
GBA,Role-Playing,0.5
Wii,Misc,0.5
PS2,Strategy,0.5
DS,Adventure,0.5
X360,Sports,0.5
DS,Action,0.5
PS,Sports,0.5
XB,Fighting,0.5
PS,Role-Playing,0.5
PSV,Sports,0.5
PS2,Shooter,0.5
PS3,Action,0.5
PS2,Action,0.5
X360,Action,0.5
PS2,Sports,0.5
X360,Sports,0.5
XOne,Shooter,0.5
DS,Misc,0.5
PS2,Role-Playing,0.5
X360,Racing,0.5
Wii,Racing,0.5
GC,Sports,0.5
PS2,Racing,0.5
SNES,Sports,0.5
PS3,Action,0.5
PS2,Action,0.5
GBA,Platform,0.5
PS2,Strategy,0.5
PS,Role-Playing,0.5
PS2,Action,0.5
PS2,Action,0.5
PS3,Action,0.5
PS2,Shooter,0.5
X360,Action,0.5
2600,Sports,0.5
PS2,Platform,0.5
2600,Action,0.5
2600,Action,0.5
3DS,Racing,0.5
Wii,Racing,0.49
X360,Action,0.49
3DS,Action,0.49
3DS,Action,0.49
X360,Sports,0.49
GBA,Sports,0.49
PS3,Racing,0.49
2600,Sports,0.49
PS3,Action,0.49
PSV,Action,0.49
PS2,Action,0.49
X360,Shooter,0.49
X360,Action,0.49
GC,Fighting,0.49
3DS,Platform,0.49
GBA,Action,0.49
XB,Shooter,0.49
Wii,Adventure,0.49
DS,Platform,0.49
GC,Simulation,0.49
PS2,Role-Playing,0.49
DS,Sports,0.49
PS2,Shooter,0.49
SNES,Puzzle,0.49
XB,Action,0.49
Wii,Shooter,0.49
3DS,Misc,0.49
N64,Sports,0.49
X360,Fighting,0.49
DS,Action,0.49
PC,Shooter,0.49
X360,Shooter,0.49
SAT,Sports,0.49
PS3,Action,0.49
PS2,Sports,0.49
PS2,Racing,0.49
PS2,Sports,0.49
3DS,Action,0.49
DS,Action,0.49
PS2,Misc,0.49
X360,Adventure,0.49
PS,Fighting,0.49
PS2,Shooter,0.49
PSP,Sports,0.49
PC,Shooter,0.49
GC,Racing,0.49
PS2,Racing,0.49
PS3,Racing,0.49
XB,Action,0.49
Wii,Sports,0.49
PS,Action,0.49
DS,Adventure,0.49
3DS,Racing,0.49
PS2,Misc,0.49
3DS,Action,0.49
PS2,Role-Playing,0.49
SNES,Simulation,0.49
DS,Action,0.49
PC,Action,0.49
PS3,Shooter,0.49
Wii,Action,0.49
DS,Misc,0.49
PS3,Shooter,0.49
PSV,Racing,0.48
X360,Misc,0.48
Wii,Shooter,0.48
DS,Puzzle,0.48
PS2,Action,0.48
PSV,Action,0.48
DS,Role-Playing,0.48
GBA,Action,0.48
Wii,Sports,0.48
Wii,Simulation,0.48
3DS,Sports,0.48
GBA,Racing,0.48
PS,Role-Playing,0.48
XB,Sports,0.48
Wii,Action,0.48
2600,Shooter,0.48
SNES,Adventure,0.48
X360,Misc,0.48
X360,Shooter,0.48
X360,Shooter,0.48
PS2,Misc,0.48
PS2,Action,0.48
PS,Fighting,0.48
Wii,Misc,0.48
X360,Sports,0.48
PS,Fighting,0.48
PC,Action,0.48
PSP,Misc,0.48
DS,Adventure,0.48
X360,Platform,0.48
PSP,Sports,0.48
PS2,Simulation,0.48
DS,Action,0.48
N64,Sports,0.48
N64,Simulation,0.48
PS2,Sports,0.48
PS2,Simulation,0.48
WiiU,Action,0.48
DS,Simulation,0.48
PS,Racing,0.48
PS3,Role-Playing,0.48
PC,Simulation,0.48
PS2,Strategy,0.48
Wii,Racing,0.48
WiiU,Action,0.48
X360,Simulation,0.48
DS,Action,0.48
Wii,Action,0.48
PS,Sports,0.48
Wii,Platform,0.48
GBA,Racing,0.48
PS3,Action,0.48
Wii,Action,0.48
DS,Role-Playing,0.48
X360,Role-Playing,0.48
XB,Sports,0.48
X360,Sports,0.48
PS2,Action,0.48
2600,Racing,0.48
Wii,Racing,0.48
Wii,Simulation,0.48
PS2,Racing,0.48
DS,Racing,0.48
Wii,Racing,0.48
PS3,Platform,0.48
PS2,Puzzle,0.47
2600,Action,0.47
PS,Shooter,0.47
N64,Sports,0.47
3DS,Role-Playing,0.47
2600,Fighting,0.47
PS3,Shooter,0.47
X360,Shooter,0.47
PS2,Fighting,0.47
X360,Fighting,0.47
PS2,Action,0.47
Wii,Racing,0.47
DS,Action,0.47
X360,Role-Playing,0.47
SNES,Puzzle,0.47
PS,Action,0.47
DS,Platform,0.47
PS3,Fighting,0.47
PS3,Action,0.47
PS,Action,0.47
PS2,Action,0.47
PS3,Action,0.47
X360,Sports,0.47
Wii,Fighting,0.47
Wii,Role-Playing,0.47
PS2,Fighting,0.47
Wii,Simulation,0.47
WiiU,Action,0.47
GBA,Platform,0.47
PS2,Role-Playing,0.47
PS2,Racing,0.47
X360,Role-Playing,0.47
PSV,Action,0.47
PSV,Sports,0.47
PC,Strategy,0.47
PSP,Racing,0.47
DS,Action,0.47
DS,Platform,0.47
PS3,Action,0.47
PS2,Racing,0.47
N64,Platform,0.47
N64,Racing,0.47
N64,Role-Playing,0.47
PS,Misc,0.47
N64,Shooter,0.47
Wii,Puzzle,0.47
PC,Simulation,0.47
X360,Fighting,0.47
2600,Action,0.47
X360,Action,0.47
Wii,Platform,0.47
PS2,Sports,0.47
XB,Racing,0.47
Wii,Sports,0.47
XOne,Sports,0.47
PC,Sports,0.47
PS,Misc,0.47
DS,Action,0.47
X360,Sports,0.47
SNES,Misc,0.47
PS2,Sports,0.47
PC,Simulation,0.47
PS2,Racing,0.47
PS2,Racing,0.47
X360,Sports,0.47
GBA,Adventure,0.47
PS2,Misc,0.47
3DS,Role-Playing,0.47
PS,Sports,0.47
Wii,Misc,0.47
GBA,Action,0.47
PS3,Racing,0.47
DS,Action,0.47
DS,Puzzle,0.47
PS2,Fighting,0.47
GC,Misc,0.47
GC,Action,0.47
DS,Sports,0.47
PS2,Sports,0.46
PS2,Adventure,0.46
DS,Platform,0.46
GBA,Shooter,0.46
PS3,Racing,0.46
GBA,Puzzle,0.46
XB,Shooter,0.46
GBA,Misc,0.46
2600,Action,0.46
Wii,Misc,0.46
PS,Sports,0.46
Wii,Action,0.46
PS3,Shooter,0.46
GBA,Platform,0.46
PS2,Action,0.46
PSP,Shooter,0.46
SNES,Sports,0.46
PS2,Strategy,0.46
SNES,Platform,0.46
GBA,Platform,0.46
PC,Shooter,0.46
PS3,Shooter,0.46
GBA,Platform,0.46
3DS,Action,0.46
DS,Strategy,0.46
PSP,Racing,0.46
DS,Platform,0.46
PS2,Misc,0.46
PS2,Shooter,0.46
Wii,Sports,0.46
DS,Action,0.46
PS2,Fighting,0.46
GBA,Platform,0.46
PS3,Platform,0.46
PS,Racing,0.46
PSP,Shooter,0.46
DS,Adventure,0.46
3DS,Action,0.46
PS,Sports,0.46
X360,Action,0.46
