Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Simulation,0.12,0.1,0.88,0.03,1.14
Racing,0.7,0.39,0.01,0.03,1.14
Simulation,1.01,0.1,0.0,0.03,1.13
Racing,0.5,0.41,0.06,0.16,1.13
Action,0.61,0.43,0.0,0.09,1.13
Sports,0.0,0.0,1.06,0.07,1.13
Racing,0.81,0.3,0.0,0.02,1.13
Role-Playing,0.33,0.37,0.37,0.06,1.13
Shooter,0.99,0.12,0.0,0.02,1.13
Sports,0.38,0.56,0.0,0.19,1.13
Platform,0.23,0.05,0.84,0.01,1.13
Misc,0.63,0.43,0.0,0.07,1.13
Sports,0.64,0.39,0.0,0.1,1.13
Shooter,0.34,0.56,0.04,0.19,1.13
Action,0.21,0.21,0.62,0.08,1.13
Role-Playing,0.81,0.3,0.0,0.02,1.13
Misc,0.67,0.3,0.0,0.15,1.13
Action,0.72,0.3,0.01,0.09,1.12
Shooter,1.05,0.06,0.0,0.01,1.12
Racing,0.55,0.43,0.0,0.14,1.12
Simulation,0.56,0.24,0.3,0.02,1.12
Shooter,0.63,0.37,0.02,0.1,1.12
Role-Playing,0.36,0.33,0.28,0.15,1.12
Action,0.5,0.37,0.1,0.16,1.12
Misc,0.84,0.2,0.01,0.08,1.12
Action,0.62,0.4,0.0,0.1,1.12
Shooter,1.03,0.0,0.01,0.08,1.12
Shooter,0.66,0.4,0.0,0.05,1.12
Puzzle,0.41,0.06,0.63,0.02,1.12
Misc,0.28,0.3,0.0,0.54,1.12
Sports,0.0,1.12,0.0,0.0,1.12
Action,0.82,0.26,0.0,0.04,1.12
Shooter,0.85,0.23,0.0,0.04,1.11
Action,0.32,0.58,0.04,0.17,1.11
Action,0.63,0.37,0.0,0.11,1.11
Racing,0.31,0.57,0.03,0.2,1.11
Misc,0.92,0.04,0.0,0.15,1.11
Shooter,0.62,0.4,0.0,0.08,1.11
Misc,0.71,0.06,0.0,0.35,1.11
Action,0.68,0.38,0.0,0.05,1.11
Platform,0.33,0.07,0.7,0.01,1.11
Role-Playing,0.0,0.0,1.1,0.01,1.11
Sports,0.95,0.14,0.0,0.03,1.11
Racing,0.54,0.46,0.0,0.12,1.11
Strategy,0.45,0.31,0.29,0.06,1.11
Role-Playing,0.18,0.13,0.73,0.07,1.11
Puzzle,0.52,0.35,0.0,0.23,1.11
Action,0.51,0.42,0.0,0.17,1.11
Misc,0.53,0.4,0.0,0.17,1.1
Shooter,1.03,0.06,0.0,0.01,1.1
Shooter,0.45,0.53,0.01,0.12,1.1
Action,0.52,0.33,0.17,0.08,1.1
Platform,1.03,0.06,0.0,0.01,1.1
Sports,0.61,0.42,0.0,0.07,1.1
Action,0.36,0.53,0.0,0.21,1.1
Simulation,0.47,0.52,0.0,0.12,1.1
Fighting,0.44,0.46,0.01,0.18,1.1
Strategy,0.0,0.0,1.1,0.0,1.1
Puzzle,0.0,0.0,1.1,0.0,1.1
Role-Playing,0.0,0.0,1.1,0.0,1.1
Role-Playing,0.0,0.0,1.1,0.0,1.1
Racing,0.45,0.33,0.29,0.03,1.1
Platform,0.51,0.12,0.45,0.02,1.1
Shooter,0.92,0.09,0.0,0.09,1.1
Sports,0.52,0.4,0.04,0.13,1.1
Misc,0.12,0.75,0.0,0.23,1.1
Misc,0.0,0.84,0.0,0.25,1.1
Role-Playing,0.54,0.21,0.31,0.04,1.1
Role-Playing,0.54,0.33,0.01,0.22,1.1
Role-Playing,0.26,0.1,0.72,0.02,1.1
Role-Playing,0.31,0.22,0.45,0.12,1.1
Action,0.43,0.41,0.0,0.25,1.09
Simulation,0.63,0.36,0.0,0.1,1.09
Action,0.24,0.55,0.0,0.31,1.09
Adventure,0.05,0.04,0.84,0.16,1.09
Sports,0.82,0.17,0.01,0.09,1.09
Role-Playing,0.78,0.29,0.0,0.02,1.09
Fighting,0.29,0.52,0.08,0.2,1.09
Sports,1.02,0.05,0.0,0.02,1.09
Simulation,0.0,0.0,1.07,0.02,1.09
Misc,0.75,0.18,0.0,0.16,1.09
Action,0.96,0.04,0.0,0.08,1.09
Sports,1.02,0.02,0.0,0.05,1.09
Strategy,0.01,0.97,0.0,0.11,1.09
Action,0.89,0.03,0.01,0.15,1.09
Sports,0.61,0.37,0.0,0.11,1.09
Shooter,0.53,0.42,0.0,0.14,1.09
Simulation,0.0,0.0,1.02,0.07,1.09
Action,0.64,0.28,0.04,0.13,1.09
Racing,0.44,0.54,0.0,0.11,1.09
Action,0.35,0.52,0.0,0.22,1.09
Adventure,0.44,0.47,0.09,0.09,1.09
Sports,0.6,0.41,0.0,0.07,1.09
Racing,0.74,0.26,0.0,0.09,1.09
Racing,0.53,0.41,0.0,0.14,1.08
Action,0.47,0.41,0.03,0.18,1.08
Platform,0.53,0.41,0.0,0.14,1.08
Action,0.36,0.64,0.0,0.08,1.08
Sports,0.87,0.12,0.0,0.09,1.08
Sports,0.53,0.41,0.0,0.14,1.08
Adventure,0.55,0.43,0.0,0.11,1.08
Action,0.48,0.32,0.2,0.09,1.08
Action,1.02,0.0,0.0,0.06,1.08
Action,0.28,0.5,0.03,0.28,1.08
Sports,0.26,0.69,0.0,0.12,1.08
Shooter,0.28,0.59,0.0,0.22,1.08
Platform,1.01,0.06,0.0,0.01,1.08
Action,0.53,0.43,0.01,0.11,1.08
Shooter,0.64,0.34,0.0,0.1,1.08
Racing,0.27,0.59,0.01,0.21,1.08
Platform,0.47,0.4,0.13,0.08,1.08
Simulation,0.67,0.3,0.0,0.11,1.08
Sports,0.6,0.41,0.0,0.07,1.08
Fighting,0.77,0.29,0.0,0.02,1.08
Platform,0.77,0.29,0.0,0.02,1.08
Shooter,0.68,0.18,0.19,0.03,1.08
Fighting,0.49,0.35,0.09,0.16,1.08
Fighting,0.79,0.18,0.03,0.07,1.08
Sports,1.01,0.0,0.0,0.06,1.07
Misc,0.0,0.0,1.0,0.07,1.07
Shooter,0.89,0.03,0.0,0.15,1.07
Simulation,0.65,0.32,0.0,0.1,1.07
Action,0.57,0.39,0.02,0.09,1.07
Action,0.53,0.4,0.03,0.11,1.07
Fighting,0.17,0.12,0.77,0.02,1.07
Sports,0.0,0.98,0.0,0.09,1.07
Fighting,0.53,0.01,0.0,0.54,1.07
Sports,0.08,0.9,0.04,0.05,1.07
Platform,0.72,0.06,0.21,0.07,1.07
Sports,0.59,0.4,0.0,0.07,1.07
Fighting,0.74,0.15,0.13,0.05,1.07
Platform,0.43,0.44,0.0,0.2,1.07
Racing,0.12,0.64,0.05,0.25,1.07
Sports,0.1,0.63,0.0,0.34,1.07
Action,0.67,0.3,0.0,0.1,1.07
Racing,0.17,0.12,0.71,0.07,1.07
Action,0.54,0.42,0.0,0.1,1.07
Racing,0.59,0.4,0.0,0.07,1.07
Sports,0.59,0.4,0.0,0.07,1.06
Fighting,0.88,0.04,0.0,0.14,1.06
Shooter,0.55,0.4,0.0,0.11,1.06
Racing,0.52,0.41,0.0,0.14,1.06
Misc,0.23,0.74,0.0,0.1,1.06
Action,0.67,0.29,0.01,0.1,1.06
Racing,0.16,0.67,0.0,0.23,1.06
Shooter,0.96,0.02,0.01,0.08,1.06
Misc,0.0,0.0,0.99,0.07,1.06
Sports,0.28,0.65,0.0,0.13,1.06
Sports,0.52,0.41,0.0,0.14,1.06
Action,0.31,0.5,0.05,0.19,1.06
Shooter,0.65,0.3,0.01,0.1,1.06
Strategy,0.18,0.81,0.0,0.08,1.06
Action,0.52,0.41,0.0,0.14,1.06
Action,0.44,0.44,0.0,0.18,1.06
Sports,1.02,0.04,0.0,0.01,1.06
Sports,1.01,0.05,0.0,0.01,1.06
Misc,0.56,0.4,0.0,0.11,1.06
Platform,0.97,0.01,0.0,0.08,1.06
Role-Playing,1.03,0.02,0.0,0.0,1.06
Fighting,0.39,0.41,0.1,0.16,1.06
Action,0.76,0.28,0.0,0.02,1.06
Sports,0.23,0.59,0.03,0.22,1.06
Racing,0.52,0.4,0.0,0.14,1.06
Simulation,0.49,0.39,0.0,0.17,1.06
Adventure,0.32,0.06,0.64,0.04,1.06
Action,0.58,0.38,0.0,0.09,1.05
Shooter,0.99,0.05,0.0,0.01,1.05
Shooter,0.81,0.11,0.0,0.13,1.05
Action,0.42,0.54,0.0,0.08,1.05
Shooter,0.41,0.47,0.0,0.18,1.05
Misc,0.99,0.05,0.0,0.01,1.05
Misc,0.27,0.66,0.0,0.12,1.05
Platform,0.0,0.0,1.05,0.0,1.05
Role-Playing,0.0,0.0,0.92,0.13,1.05
Fighting,0.0,0.0,1.05,0.0,1.05
Sports,0.0,0.0,1.04,0.01,1.05
Action,0.55,0.34,0.03,0.13,1.05
Sports,0.51,0.4,0.0,0.13,1.05
Fighting,0.3,0.48,0.12,0.15,1.05
Racing,0.78,0.26,0.0,0.01,1.05
Sports,0.91,0.11,0.0,0.03,1.05
Simulation,0.45,0.49,0.0,0.11,1.05
Fighting,0.56,0.38,0.01,0.11,1.05
Racing,0.52,0.51,0.0,0.02,1.05
Platform,0.44,0.49,0.0,0.11,1.05
Adventure,0.62,0.32,0.0,0.1,1.05
Simulation,0.19,0.13,0.66,0.07,1.05
Role-Playing,0.58,0.06,0.37,0.04,1.05
Action,0.54,0.4,0.0,0.11,1.05
Action,0.46,0.47,0.0,0.11,1.04
Sports,0.51,0.4,0.0,0.13,1.04
Action,0.58,0.4,0.0,0.07,1.04
Fighting,0.33,0.37,0.26,0.09,1.04
Action,0.58,0.37,0.0,0.09,1.04
Role-Playing,0.09,0.06,0.83,0.07,1.04
Racing,0.58,0.39,0.0,0.07,1.04
Adventure,0.57,0.35,0.02,0.1,1.04
Action,0.45,0.3,0.22,0.07,1.04
Fighting,0.44,0.12,0.45,0.03,1.04
Simulation,0.87,0.03,0.0,0.14,1.04
Shooter,0.59,0.35,0.01,0.09,1.04
Racing,0.39,0.16,0.37,0.12,1.04
Puzzle,0.5,0.2,0.31,0.03,1.04
Racing,0.91,0.1,0.0,0.03,1.04
Action,0.62,0.33,0.0,0.09,1.04
Racing,0.17,0.69,0.02,0.15,1.04
Racing,0.53,0.46,0.0,0.05,1.04
Platform,0.52,0.06,0.41,0.05,1.04
Action,0.61,0.34,0.0,0.09,1.04
Simulation,0.68,0.27,0.0,0.09,1.04
Shooter,0.34,0.48,0.02,0.19,1.04
Racing,0.16,0.58,0.0,0.3,1.04
Racing,0.47,0.34,0.0,0.22,1.04
Sports,0.46,0.4,0.01,0.17,1.04
Racing,0.86,0.03,0.0,0.14,1.03
Platform,0.56,0.33,0.01,0.14,1.03
Sports,0.94,0.02,0.0,0.08,1.03
Platform,0.33,0.51,0.01,0.18,1.03
Action,0.72,0.23,0.0,0.08,1.03
Sports,0.5,0.39,0.0,0.13,1.03
Platform,0.68,0.31,0.0,0.04,1.03
Puzzle,0.18,0.0,0.85,0.0,1.03
Action,0.45,0.47,0.0,0.11,1.03
Action,0.96,0.07,0.0,0.0,1.03
Misc,0.94,0.01,0.0,0.08,1.03
Fighting,0.38,0.12,0.51,0.02,1.03
Shooter,0.61,0.32,0.01,0.08,1.02
Sports,0.32,0.59,0.01,0.11,1.02
Fighting,0.45,0.46,0.0,0.11,1.02
Shooter,0.87,0.05,0.02,0.08,1.02
Action,0.53,0.36,0.05,0.08,1.02
Platform,0.73,0.26,0.01,0.03,1.02
Simulation,0.51,0.4,0.0,0.11,1.02
Role-Playing,0.28,0.21,0.45,0.08,1.02
Action,0.39,0.12,0.49,0.02,1.02
Platform,0.51,0.4,0.0,0.11,1.02
Action,0.57,0.39,0.0,0.07,1.02
Simulation,0.69,0.04,0.22,0.06,1.02
Sports,0.97,0.03,0.0,0.03,1.02
Action,0.44,0.4,0.0,0.17,1.02
Action,0.5,0.39,0.0,0.13,1.02
Puzzle,0.56,0.38,0.0,0.07,1.01
Action,0.34,0.28,0.1,0.3,1.01
Action,0.54,0.35,0.02,0.1,1.01
Action,0.41,0.36,0.03,0.21,1.01
Platform,0.44,0.46,0.01,0.09,1.01
Action,0.65,0.22,0.05,0.1,1.01
Sports,0.87,0.12,0.0,0.02,1.01
Sports,0.0,0.93,0.0,0.08,1.01
Misc,0.48,0.44,0.0,0.09,1.01
Misc,0.0,0.0,1.01,0.0,1.01
Simulation,0.12,0.08,0.74,0.07,1.01
Action,0.33,0.48,0.02,0.18,1.01
Racing,0.27,0.53,0.0,0.2,1.01
Platform,0.21,0.61,0.0,0.18,1.01
Shooter,0.93,0.0,0.0,0.07,1.0
Racing,0.49,0.38,0.0,0.13,1.0
Role-Playing,0.29,0.19,0.46,0.07,1.0
Sports,0.13,0.76,0.03,0.09,1.0
Fighting,0.3,0.24,0.38,0.08,1.0
Shooter,0.65,0.14,0.21,0.0,1.0
Racing,0.65,0.15,0.19,0.01,1.0
Sports,0.41,0.1,0.47,0.02,1.0
Misc,0.63,0.25,0.09,0.03,1.0
Misc,0.0,0.0,1.0,0.0,1.0
Fighting,0.78,0.18,0.03,0.0,1.0
Shooter,0.49,0.33,0.02,0.15,1.0
Action,0.72,0.21,0.0,0.07,1.0
Sports,0.08,0.9,0.02,0.0,1.0
Racing,0.56,0.38,0.0,0.07,1.0
Sports,0.56,0.38,0.0,0.07,1.0
Shooter,0.25,0.49,0.04,0.22,1.0
Sports,0.55,0.38,0.0,0.07,1.0
Action,0.13,0.1,0.74,0.03,1.0
Strategy,0.86,0.04,0.01,0.08,1.0
Misc,0.51,0.27,0.05,0.15,1.0
Action,0.44,0.38,0.0,0.17,1.0
Misc,0.89,0.04,0.0,0.06,1.0
Action,0.48,0.35,0.0,0.16,1.0
Role-Playing,0.64,0.28,0.0,0.08,1.0
Puzzle,0.17,0.78,0.0,0.04,1.0
Misc,0.55,0.38,0.0,0.07,1.0
Action,0.64,0.28,0.0,0.08,0.99
Adventure,0.49,0.07,0.39,0.05,0.99
Sports,0.74,0.21,0.0,0.04,0.99
Racing,0.77,0.2,0.0,0.03,0.99
Simulation,0.59,0.31,0.0,0.1,0.99
Action,0.51,0.39,0.0,0.09,0.99
Action,0.57,0.34,0.01,0.08,0.99
Simulation,0.37,0.31,0.12,0.19,0.99
Sports,0.94,0.0,0.0,0.06,0.99
Action,0.36,0.46,0.0,0.17,0.99
Misc,0.6,0.3,0.0,0.09,0.99
Racing,0.61,0.3,0.0,0.09,0.99
Platform,0.55,0.38,0.0,0.06,0.99
Simulation,0.35,0.52,0.04,0.09,0.99
Action,0.88,0.05,0.0,0.07,0.99
Racing,0.52,0.28,0.0,0.19,0.99
Action,0.3,0.23,0.38,0.08,0.99
Misc,0.73,0.15,0.0,0.11,0.99
Fighting,0.38,0.5,0.0,0.11,0.99
Sports,0.23,0.65,0.0,0.11,0.99
Platform,0.76,0.2,0.0,0.03,0.99
Simulation,0.0,0.8,0.0,0.18,0.99
Role-Playing,0.02,0.88,0.0,0.08,0.99
Racing,0.85,0.05,0.0,0.08,0.98
Sports,0.02,0.53,0.19,0.25,0.98
Shooter,0.21,0.62,0.0,0.14,0.98
Role-Playing,0.49,0.26,0.16,0.08,0.98
Misc,0.72,0.19,0.0,0.07,0.98
Misc,0.5,0.19,0.28,0.02,0.98
Racing,0.36,0.46,0.0,0.17,0.98
Puzzle,0.62,0.13,0.21,0.02,0.98
Racing,0.94,0.04,0.0,0.01,0.98
Shooter,0.91,0.06,0.0,0.01,0.98
Role-Playing,0.29,0.23,0.38,0.08,0.98
Role-Playing,0.56,0.1,0.27,0.05,0.98
Role-Playing,0.42,0.38,0.0,0.17,0.98
Racing,0.24,0.54,0.01,0.18,0.98
Shooter,0.38,0.39,0.06,0.15,0.98
Shooter,0.45,0.44,0.0,0.08,0.98
Action,0.0,0.92,0.0,0.05,0.98
Action,0.34,0.41,0.06,0.18,0.98
Action,0.03,0.43,0.51,0.01,0.98
Sports,0.82,0.05,0.0,0.1,0.98
Sports,0.88,0.0,0.0,0.1,0.98
Action,0.62,0.27,0.0,0.09,0.98
Simulation,0.09,0.02,0.86,0.01,0.98
Role-Playing,0.37,0.32,0.15,0.14,0.97
Sports,0.89,0.01,0.0,0.08,0.97
Platform,0.5,0.37,0.0,0.1,0.97
Sports,0.73,0.21,0.0,0.03,0.97
Role-Playing,0.4,0.44,0.0,0.13,0.97
Sports,0.88,0.02,0.0,0.08,0.97
Strategy,0.49,0.18,0.29,0.01,0.97
Action,0.15,0.14,0.63,0.05,0.97
Action,0.53,0.35,0.0,0.1,0.97
Sports,0.56,0.33,0.0,0.08,0.97
Sports,0.47,0.37,0.0,0.12,0.97
Action,0.78,0.03,0.03,0.13,0.97
Sports,0.77,0.1,0.0,0.1,0.97
Sports,0.33,0.6,0.0,0.04,0.97
Action,0.52,0.37,0.0,0.08,0.97
Role-Playing,0.0,0.0,0.97,0.0,0.97
Platform,0.9,0.05,0.0,0.01,0.97
Action,0.75,0.19,0.0,0.03,0.97
Action,0.36,0.45,0.0,0.16,0.97
Role-Playing,0.21,0.31,0.28,0.16,0.97
Shooter,0.54,0.37,0.0,0.06,0.97
Simulation,0.82,0.07,0.0,0.07,0.96
Role-Playing,0.38,0.25,0.26,0.07,0.96
Misc,0.54,0.36,0.0,0.06,0.96
Action,0.5,0.28,0.04,0.14,0.96
Simulation,0.0,0.0,0.9,0.06,0.96
Misc,0.72,0.17,0.0,0.07,0.96
Role-Playing,0.0,0.0,0.96,0.0,0.96
Action,0.37,0.49,0.0,0.1,0.96
Adventure,0.3,0.44,0.0,0.22,0.96
Fighting,0.72,0.22,0.0,0.02,0.96
Shooter,0.32,0.06,0.57,0.01,0.96
Platform,0.54,0.33,0.0,0.09,0.96
Shooter,0.29,0.34,0.2,0.13,0.96
Sports,0.47,0.37,0.0,0.12,0.96
Role-Playing,0.0,0.0,0.96,0.0,0.96
Sports,0.3,0.54,0.0,0.11,0.96
Shooter,0.41,0.33,0.09,0.12,0.96
Action,0.39,0.0,0.53,0.03,0.96
Platform,0.36,0.28,0.22,0.09,0.96
Fighting,0.77,0.15,0.0,0.04,0.96
Action,0.25,0.56,0.0,0.15,0.96
Simulation,0.4,0.36,0.13,0.07,0.96
Fighting,0.32,0.33,0.15,0.15,0.96
Action,0.47,0.4,0.0,0.08,0.95
Sports,0.88,0.04,0.0,0.04,0.95
Misc,0.47,0.36,0.0,0.12,0.95
Misc,0.8,0.03,0.0,0.13,0.95
Action,0.36,0.45,0.0,0.14,0.95
Platform,0.74,0.19,0.0,0.03,0.95
Role-Playing,0.57,0.3,0.0,0.08,0.95
Action,0.65,0.22,0.0,0.09,0.95
Misc,0.27,0.51,0.0,0.17,0.95
Racing,0.46,0.39,0.0,0.1,0.95
Role-Playing,0.26,0.17,0.46,0.06,0.95
Strategy,0.27,0.21,0.41,0.07,0.95
Misc,0.68,0.25,0.0,0.02,0.95
Sports,0.53,0.36,0.0,0.06,0.95
Action,0.54,0.28,0.0,0.13,0.95
Action,0.39,0.4,0.0,0.16,0.95
Misc,0.41,0.43,0.0,0.1,0.95
Shooter,0.35,0.41,0.05,0.15,0.95
Fighting,0.51,0.31,0.01,0.13,0.95
Shooter,0.62,0.24,0.0,0.08,0.95
Sports,0.7,0.17,0.0,0.08,0.95
Action,0.48,0.38,0.0,0.08,0.95
Misc,0.24,0.43,0.18,0.09,0.95
Shooter,0.79,0.03,0.0,0.13,0.94
Action,0.27,0.5,0.0,0.17,0.94
Racing,0.01,0.71,0.01,0.21,0.94
Shooter,0.48,0.27,0.13,0.07,0.94
Platform,0.73,0.19,0.0,0.03,0.94
Misc,0.69,0.17,0.0,0.08,0.94
Misc,0.52,0.36,0.0,0.06,0.94
Racing,0.83,0.04,0.0,0.07,0.94
Action,0.28,0.53,0.0,0.13,0.94
Action,0.46,0.36,0.0,0.12,0.94
Sports,0.26,0.29,0.33,0.05,0.94
Action,0.48,0.36,0.02,0.08,0.94
Action,0.51,0.26,0.09,0.08,0.94
Shooter,0.78,0.03,0.0,0.13,0.94
Sports,0.7,0.2,0.0,0.03,0.94
Role-Playing,0.1,0.07,0.71,0.06,0.94
Sports,0.87,0.0,0.0,0.07,0.94
Sports,0.52,0.35,0.0,0.06,0.94
Action,0.48,0.3,0.08,0.08,0.94
Action,0.75,0.03,0.04,0.12,0.94
Action,0.57,0.33,0.0,0.04,0.94
Role-Playing,0.19,0.06,0.63,0.05,0.94
Sports,0.46,0.36,0.0,0.12,0.94
Sports,0.78,0.03,0.0,0.13,0.94
Sports,0.46,0.36,0.0,0.12,0.93
Shooter,0.36,0.45,0.02,0.1,0.93
Sports,0.78,0.09,0.0,0.06,0.93
Misc,0.16,0.58,0.0,0.2,0.93
Misc,0.67,0.25,0.0,0.02,0.93
Sports,0.59,0.3,0.0,0.04,0.93
Shooter,0.42,0.41,0.0,0.11,0.93
Sports,0.29,0.52,0.02,0.11,0.93
Role-Playing,0.33,0.16,0.36,0.08,0.93
Sports,0.35,0.42,0.02,0.14,0.93
Racing,0.5,0.32,0.02,0.1,0.93
Action,0.34,0.44,0.0,0.15,0.93
Simulation,0.85,0.01,0.0,0.07,0.93
Racing,0.67,0.25,0.0,0.02,0.93
Action,0.87,0.05,0.0,0.01,0.93
Platform,0.51,0.09,0.32,0.01,0.93
Platform,0.45,0.06,0.42,0.0,0.93
Platform,0.71,0.2,0.0,0.01,0.93
Action,0.67,0.25,0.0,0.02,0.93
Sports,0.77,0.03,0.0,0.13,0.93
Action,0.54,0.31,0.0,0.08,0.93
Racing,0.72,0.19,0.0,0.03,0.93
Shooter,0.44,0.34,0.0,0.15,0.93
Role-Playing,0.0,0.0,0.93,0.0,0.93
Fighting,0.47,0.22,0.16,0.07,0.93
Racing,0.52,0.35,0.0,0.06,0.93
Action,0.45,0.35,0.0,0.12,0.92
Simulation,0.45,0.35,0.0,0.12,0.92
Role-Playing,0.3,0.33,0.21,0.08,0.92
Action,0.51,0.35,0.0,0.06,0.92
Sports,0.86,0.0,0.0,0.06,0.92
Sports,0.51,0.35,0.0,0.06,0.92
Sports,0.17,0.65,0.0,0.1,0.92
Sports,0.52,0.28,0.0,0.12,0.92
Action,0.55,0.21,0.0,0.16,0.92
Fighting,0.58,0.26,0.0,0.08,0.92
Action,0.63,0.2,0.02,0.07,0.92
Misc,0.87,0.0,0.0,0.05,0.92
Sports,0.51,0.35,0.0,0.06,0.92
Action,0.5,0.32,0.0,0.09,0.92
Fighting,0.63,0.27,0.0,0.02,0.92
Platform,0.39,0.09,0.43,0.01,0.92
Adventure,0.01,0.83,0.0,0.08,0.92
Adventure,0.16,0.2,0.53,0.03,0.92
Shooter,0.51,0.33,0.01,0.08,0.92
Action,0.37,0.39,0.0,0.15,0.92
Action,0.25,0.14,0.46,0.06,0.92
Action,0.26,0.39,0.12,0.14,0.92
Sports,0.86,0.0,0.0,0.06,0.92
Racing,0.71,0.18,0.0,0.03,0.92
Racing,0.45,0.35,0.0,0.12,0.92
Fighting,0.12,0.08,0.66,0.06,0.92
Role-Playing,0.45,0.27,0.11,0.09,0.92
Sports,0.67,0.08,0.0,0.17,0.92
Shooter,0.23,0.46,0.05,0.17,0.92
Shooter,0.32,0.4,0.04,0.15,0.91
Sports,0.85,0.0,0.0,0.07,0.91
Sports,0.45,0.35,0.0,0.12,0.91
Action,0.32,0.43,0.0,0.16,0.91
Action,0.41,0.17,0.29,0.05,0.91
Strategy,0.58,0.24,0.01,0.09,0.91
Sports,0.45,0.35,0.0,0.12,0.91
Racing,0.35,0.27,0.21,0.09,0.91
Action,0.47,0.3,0.0,0.13,0.91
Racing,0.02,0.8,0.02,0.07,0.91
Platform,0.72,0.17,0.0,0.01,0.91
Racing,0.52,0.26,0.0,0.12,0.91
Adventure,0.46,0.38,0.0,0.08,0.91
Misc,0.77,0.11,0.0,0.04,0.91
Role-Playing,0.68,0.15,0.0,0.08,0.91
Shooter,0.57,0.26,0.0,0.08,0.91
Simulation,0.0,0.0,0.91,0.0,0.91
Misc,0.61,0.26,0.0,0.04,0.91
Misc,0.42,0.34,0.0,0.14,0.91
Role-Playing,0.55,0.28,0.0,0.07,0.91
Action,0.38,0.37,0.0,0.15,0.91
Sports,0.44,0.35,0.0,0.12,0.9
Misc,0.13,0.0,0.77,0.01,0.9
Racing,0.0,0.0,0.9,0.0,0.9
Sports,0.44,0.35,0.0,0.12,0.9
Shooter,0.66,0.12,0.04,0.08,0.9
Racing,0.75,0.03,0.0,0.12,0.9
Misc,0.28,0.48,0.0,0.14,0.9
Sports,0.38,0.29,0.15,0.08,0.9
Racing,0.5,0.34,0.0,0.06,0.9
Puzzle,0.3,0.49,0.0,0.1,0.9
Shooter,0.26,0.43,0.03,0.18,0.9
Action,0.5,0.34,0.0,0.06,0.9
Sports,0.17,0.13,0.55,0.05,0.9
Platform,0.41,0.43,0.01,0.05,0.9
Shooter,0.27,0.36,0.05,0.22,0.9
Sports,0.52,0.26,0.0,0.12,0.9
Action,0.51,0.29,0.0,0.09,0.9
Sports,0.84,0.05,0.0,0.01,0.9
Platform,0.74,0.03,0.01,0.12,0.9
Shooter,0.65,0.22,0.0,0.03,0.9
Misc,0.42,0.37,0.01,0.1,0.9
Role-Playing,0.32,0.48,0.0,0.09,0.9
Racing,0.42,0.33,0.0,0.14,0.9
Sports,0.29,0.52,0.0,0.09,0.9
Role-Playing,0.84,0.0,0.0,0.06,0.9
Action,0.42,0.32,0.01,0.15,0.9
Role-Playing,0.62,0.24,0.0,0.04,0.9
Sports,0.81,0.05,0.0,0.04,0.9
Sports,0.44,0.34,0.0,0.11,0.9
Sports,0.73,0.1,0.0,0.06,0.9
Platform,0.62,0.24,0.0,0.03,0.89
Shooter,0.35,0.38,0.01,0.16,0.89
Shooter,0.44,0.28,0.0,0.18,0.89
Sports,0.82,0.01,0.0,0.07,0.89
Sports,0.74,0.03,0.0,0.12,0.89
Action,0.32,0.42,0.01,0.14,0.89
Platform,0.6,0.22,0.05,0.02,0.89
Role-Playing,0.51,0.29,0.01,0.09,0.89
Sports,0.74,0.03,0.0,0.12,0.89
Adventure,0.46,0.17,0.24,0.02,0.89
Platform,0.6,0.19,0.0,0.1,0.89
Strategy,0.42,0.16,0.3,0.02,0.89
Strategy,0.0,0.0,0.89,0.0,0.89
Action,0.69,0.18,0.0,0.02,0.89
Adventure,0.36,0.43,0.0,0.1,0.89
Simulation,0.16,0.11,0.56,0.06,0.89
Racing,0.15,0.63,0.0,0.11,0.89
Sports,0.44,0.34,0.0,0.11,0.89
Sports,0.28,0.47,0.0,0.14,0.89
Fighting,0.21,0.13,0.46,0.08,0.89
Action,0.42,0.36,0.04,0.07,0.89
Racing,0.18,0.59,0.01,0.1,0.89
Racing,0.81,0.0,0.01,0.07,0.89
Shooter,0.01,0.79,0.0,0.09,0.89
Sports,0.39,0.24,0.21,0.06,0.89
Role-Playing,0.55,0.25,0.01,0.07,0.89
Shooter,0.6,0.21,0.0,0.08,0.89
Sports,0.49,0.34,0.0,0.06,0.89
Misc,0.0,0.68,0.0,0.2,0.89
Role-Playing,0.0,0.0,0.89,0.0,0.89
Platform,0.44,0.3,0.09,0.06,0.88
Fighting,0.44,0.36,0.0,0.08,0.88
Action,0.38,0.41,0.01,0.08,0.88
Action,0.01,0.79,0.0,0.08,0.88
Misc,0.0,0.82,0.0,0.06,0.88
Misc,0.62,0.2,0.0,0.07,0.88
Action,0.6,0.21,0.0,0.08,0.88
Misc,0.73,0.1,0.0,0.06,0.88
Action,0.3,0.22,0.3,0.05,0.88
Action,0.43,0.34,0.0,0.11,0.88
Misc,0.32,0.06,0.0,0.5,0.88
Simulation,0.47,0.22,0.12,0.07,0.88
Shooter,0.49,0.33,0.0,0.06,0.88
Action,0.42,0.38,0.0,0.07,0.88
Strategy,0.32,0.26,0.12,0.17,0.88
Simulation,0.51,0.28,0.01,0.08,0.88
Fighting,0.28,0.33,0.13,0.14,0.88
Sports,0.43,0.33,0.0,0.11,0.88
Racing,0.33,0.44,0.01,0.09,0.88
